60.3794,37.2661,17.0312,-7.047,-38.3837
56.7228,32.5836,9.155,-18.8853,-51.7921
54.9307,30.4066,3.7943,-24.8535,-57.878
54.6566,30.0604,0.9112,-28.0078,-60.989
54.5148,28.8721,-1.3269,-30.0309,-63.7203
54.4554,26.4336,-3.3756,-32.1452,-65.5385
54.2664,24.2936,-5.2321,-33.7498,-66.9089
51.5203,22.3074,-6.962,-34.8055,-68.0152
48.7041,20.3774,-8.5797,-36.0072,-68.5666
46.1255,18.6727,-9.7796,-36.9517,-68.6646
43.6986,17.3685,-10.6435,-37.6195,-68.5827
41.7247,16.3811,-11.1111,-37.9409,-68.32
40.2939,15.8956,-11.2253,-37.9039,-67.7096
39.2458,15.7429,-11.0663,-37.6776,-67.0412
38.596,15.8613,-10.7019,-37.2533,-66.2913
38.3452,16.2973,-10.1444,-36.6229,-65.2558
38.408,16.9879,-9.3402,-35.9193,-64.4164
38.6503,17.6936,-8.5603,-35.2473,-63.6563
38.9144,18.4139,-7.8285,-34.3737,-62.7018
39.1892,19.1425,-7.0487,-33.5985,-61.8352
39.4466,19.7506,-6.3216,-32.7065,-60.8078
39.7091,20.3967,-5.7262,-31.8901,-59.9842
39.963,20.998,-4.9541,-31.1189,-59.1014
40.2421,21.6037,-4.349,-30.4423,-58.1803
40.5072,22.1465,-3.6435,-29.7021,-57.1711
40.748,22.7218,-2.9412,-28.9388,-56.3429
41.0185,23.2527,-2.2244,-28.2539,-55.6496
41.2907,23.7127,-1.6738,-27.4844,-54.7295
41.5564,24.2493,-0.9316,-26.6678,-53.9519
41.8508,24.765,-0.2461,-26.0537,-53.289
