339.8118,320.7371,311.429,305.0046,299.61,296.4666,293.1642
316.496,294.6889,281.5448,272.6121,264.6799,259.3932,255.3391
304.2693,278.906,264.7658,254.0393,244.7966,238.6353,232.4898
301.0057,272.7382,257.2546,245.2715,236.3118,228.215,223.088
299.3072,268.6211,252.1525,239.9742,229.8477,222.9757,216.1494
297.7288,265.5076,247.9149,235.4787,225.4774,217.4445,211.6772
296.9284,263.1995,245.0267,231.5531,221.3922,213.5327,207.0924
296.5744,261.0113,241.7617,228.2403,216.2482,206.0997,196.9948
289.4564,250.9893,229.029,213.9515,202.0219,192.2097,183.0366
273.1413,235.9655,214.5422,199.9898,188.3155,178.6969,170.1494
258.3772,221.9445,200.7772,186.5686,175.1544,166.3524,158.5123
245.0702,209.3484,187.9657,174.2358,163.8855,155.5098,148.168
233.1313,197.8904,176.686,163.8083,153.7976,145.8378,138.7079
222.7185,188.3066,167.381,154.7441,145.1321,137.7585,131.0966
214.9856,181.0241,160.1675,147.5757,138.368,131.3722,125.0363
209.1297,175.3839,154.3555,141.822,132.8908,126.2374,120.0751
204.7583,170.9507,149.8329,137.5509,128.6474,122.3526,116.4226
201.4551,167.8748,146.5715,134.431,125.6344,119.5924,113.8088
199.5249,166.2917,144.9522,132.6985,123.933,117.8508,112.1994
198.6066,165.845,144.1067,131.6524,122.9706,116.8616,111.3264
198.996,166.1197,143.9463,131.4151,122.8728,116.6167,111.1942
199.9699,167.0785,144.538,131.7992,123.2606,116.9415,111.3667
201.1912,168.2974,145.4154,132.2684,123.5862,117.4075,111.6146
202.3779,169.3697,146.2523,132.8565,123.9902,117.7405,112.0488
203.5695,170.5363,147.0512,133.4615,124.5097,117.9213,112.1966
204.7408,171.7861,147.9934,133.9624,125.0175,118.3843,112.5201
205.8534,172.888,148.8024,134.4585,125.4259,118.7282,112.7781
206.9656,174.0657,149.6989,135.1183,125.9949,119.1661,113.2471
208.116,175.1588,150.7269,135.5883,126.4318,119.4059,113.4765
209.2226,176.3071,151.6262,136.2177,127.0532,119.5546,113.9003
