147.2469,148.3136,161.7104,179.8249,200.9523,223.8255
131.0414,123.8289,132.0457,145.5904,162.8949,182.0641
124.2915,112.1919,118.4487,130.5626,146.5334,165.4839
123.7876,109.2617,112.6416,124.2636,139.7114,158.1837
124.8624,108.4584,109.6863,120.735,135.2026,153.7527
125.9556,108.1252,107.5536,117.7166,131.8611,150.3936
127.1671,99.6558,93.3603,104.269,121.6955,143.7832
117.4003,88.6565,80.6446,90.5038,107.7618,130.1137
107.7373,78.2827,68.6846,77.8591,95.345,117.7155
98.2285,68.7312,57.7226,66.3742,84.173,106.75
89.5558,60.3275,48.8577,56.8454,74.3787,96.9366
82.6544,53.5594,41.292,48.3689,65.6615,88.4998
77.4116,48.3493,35.3272,41.6588,58.8078,81.6208
73.8429,44.5921,31.1219,36.4283,53.2458,76.1575
71.5725,42.2496,28.1857,32.5966,49.4232,71.9089
70.3559,41.1581,26.6007,30.0519,46.3225,68.6877
70.6379,41.3408,25.9733,28.6055,44.4101,66.4279
71.9319,42.5286,26.6298,28.158,43.3692,65.0169
73.9048,44.4487,27.9203,28.4778,43.1616,64.4591
76.7971,47.1866,30.0877,29.6027,43.676,64.5716
79.8798,50.0856,32.6075,30.955,44.3722,64.9122
82.9597,53.2128,34.89,32.339,45.1712,65.3156
85.9642,56.3773,36.9957,33.8167,46.0229,65.751
88.876,59.171,39.5519,35.3983,46.7513,66.2423
91.6548,61.8877,41.8591,37.0968,47.5604,66.688
94.2356,64.7078,44.1356,38.5545,48.4024,67.0994
96.5463,67.2769,46.3967,40.2989,49.2114,67.5649
98.9531,69.7784,48.6377,41.9193,50.0383,68.0165
101.2507,72.3943,50.9823,43.5396,50.8317,68.4979
103.4884,74.8419,53.0375,45.0917,51.6257,69.0236
