6446.14,6435.42,6485.56,6629.72,6774.73,6902.71,7028.46,7155.5,7170.26,7004.75,6871.86,6760.4,6670.04,6603.02,6571.06,6574.95,6600.31,6639.22,6696.29,6764.33,6850.26,6948.17,7047.96,7146.46,7243.28,7338.45,7432,7524.06,7614.74,7704.29
6449.26,6448.41,6507.08,6650.8,6791.77,6922.12,7052.21,7179.91,7195.48,7056.77,6939.87,6839.53,6763.25,6707.37,6690.41,6700.43,6730.39,6772.05,6834.42,6907.34,6998.94,7097.99,7198.16,7296.48,7393.12,7488.06,7581.45,7673.34,7764,7853.55
6430.55,6465.63,6531.37,6677.52,6824.2,6960.75,7097.62,7227.01,7256.56,7132.92,7024.29,6938.21,6868.27,6824.95,6818.46,6833.03,6865.32,6912.49,6976.4,7056.29,7150.75,7250.09,7349.86,7447.56,7543.5,7638.14,7731.11,7822.82,7913.27,8002.76
6402.97,6465.16,6567.05,6724.08,6870.05,7009.32,7147.8,7272.88,7342.25,7231.81,7137.13,7059.7,7003.1,6971.42,6974.34,6993.58,7030.39,7083.2,7151.13,7235.92,7333.51,7433.97,7532.6,7629.15,7724.53,7818.07,7910.2,8001.12,8090.75,8178.59
6373.16,6456.12,6566.97,6740.98,6913.43,7072.42,7224.11,7356.33,7435.51,7340.46,7257.08,7191.23,7142.85,7123.58,7132.89,7156.39,7197.13,7254,7329.66,7418.18,7517.12,7618.32,7717.85,7815.33,7910.95,8005.18,8097.69,8189.24,8279.4,8368.43
6348.2,6437.6,6561.15,6736.45,6918.15,7087.64,7249.54,7394.77,7471.89,7415.28,7359.38,7316.95,7286.08,7282.59,7300.01,7329.1,7375.04,7438.9,7520.68,7613.99,7712.6,7812.23,7910.59,8007.64,8103.49,8197.44,8290.14,8381.48,8472.26,8560.73
6326.82,6418.92,6548.43,6726.19,6909.09,7087.87,7254.71,7406.13,7419.05,7382.19,7350.02,7329.95,7332.55,7359.37,7402.6,7458.94,7526.13,7610.33,7705.27,7806.91,7912.25,8016.56,8118.39,8216.12,8311.53,8405.04,8498.88,8590.98,8680.74,8768.59
6307.84,6398.18,6535.36,6719.04,6903.88,7078.91,7249.14,7371.85,7341.76,7315.3,7296.93,7291.65,7314.01,7356.69,7414.28,7483.86,7567.05,7667.73,7777.46,7897.73,8021.63,8144.12,8262.16,8376.03,8484.5,8589.95,8691.16,8789.48,8886.36,8981.21
8254.99,8182.45,8216.08,8351.34,8490.02,8616.35,8743.33,8868.26,8886.59,8763.66,8658.42,8570.15,8498.07,8444.93,8428.07,8435.97,8463.11,8503.59,8562.09,8633.44,8722.16,8817.72,8915.29,9010.82,9104.98,9197.48,9287.83,9376.97,9465.51,9552.31
8461.9,8349.17,8330.49,8423.03,8526.13,8629.88,8734.68,8832.63,8808.25,8704.31,8610,8532.19,8467.18,8426.24,8416,8427.07,8453.31,8497.13,8560.73,8639.03,8726.05,8821.4,8918.93,9012.77,9106.57,9200.22,9290.42,9380.52,9468.22,9555.63
